id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,currency,price_period,title,description,property_type,operation_type
3htzEbSOJ/lTVtMwp/GqMQ==,Propiedad,2021-04-20,2021-04-21,2021-04-20,4.6948492,-74.0470411,Colombia,Cundinamarca,Bogotá D.C,Zona Norte,Usaquén,,,,2.0,,,690000000.0,COP,,"Apartamento en San Patricio, Santa Bárbara2 habitaciones87 m2","[VEN] ID HOUM: 28713Acogedor y amplio Apartamento ubicado en el barrio Chicó. Cuenta con 87.89 M2 de área construida, con una distribución de sala comedor, cocina integral inteligente, balcón, 2 habitaciones, 2 baños, patio de ropas y 2 parqueaderos independientes, cuenta con bonitos acabados, pisos en madera laminada y blackouts en todas las ventanas. Dentro del conjunto cerrado encontrará celaduría 24 horas, monitoreo por sistema de cámaras, ascensores, parqueaderos para visitantes y propietarios, etc. Cerca a importantes vías como la Autopista norte, Cll 116 o Cra 15. Cerca de sector comercial, fácil acceso a supermercados, droguerías, cajeros automáticos, comercio en general, cerca de vías principales, fácil acceso a transporte público. ¡Con HOUM te ayudamos a encontrar el hogar de tus sueños!",Apartamento,Venta
TVyxSrVA1Bjbz1o4H4VmWA==,Propiedad,2021-04-20,9999-12-31,2021-04-20,4.754,-74.079,Colombia,Cundinamarca,Bogotá D.C,Zona Noroccidental,,,,2.0,2.0,,,195000000.0,COP,,APARTAMENTO EN VENTA EN Bogota,"Apto 56.37m2, 2 alcobas, 2 baños, estudio, cocina totalmente terminada, Gym, zonas verdes. zonas humedas, zona BBQ.",Apartamento,Venta
0cbylbPCK4n7B85X1K+aiQ==,Propiedad,2021-04-20,2021-04-21,2021-04-20,,,Colombia,Antioquia,Medellín,,,,,,3.0,,,350000000.0,COP,,Apartamento en Venta Ubicado en SABANETA,Codigo Inmueble 828 Se vende apartamento en entreamigos con amplias zonas y en un sector muy tranquilo,Apartamento,Venta
sUHxUpdPq/xezc98KC5vxA==,Propiedad,2021-04-20,9999-12-31,2021-04-20,,,Colombia,Santander,Bucaramanga,,,,,3.0,4.0,,,800000000.0,COP,,VENTA CASA LAGOS DEL CACIQUE CONJUNTO PORTAL DEL CACIQUE,"<b>VENTA CASA LAGOS DEL CACIQUE CONJUNTO PORTAL DEL CACIQUE</b><br><br>PORTAL DEL CACIQUE<br />
CASA TRES HABITACIONES<br />
<br />
Para m&aacute;s informaci&oacute;n  www.gestioninmobiliariadecolombia.com<br />
<br />
* Direcci&oacute;n exacta: Carrera. 55 #72. Casa 78<br />
* Barrio: Lagos del cacique<br />
* Niveles:3<br />
* Antig&uuml;edad: 15 a&ntilde;os<br />
* Estrato:6<br />
* &Aacute;rea (m2): 226 m2<br />
* # habitaciones : 3 m&aacute;s cuarto del servicio<br />
* # ba&ntilde;os:4<br />
* Tipo de cocina: integral.<br />
* Estar de Tv: si<br />
* Parqueaderos:2 dentro de la casa<br />
<br />
Zona social: piscina para adultos, piscina para ni&ntilde;os, juegos infantiles, cancha m&uacute;ltiple, senderos verdes, vigilancia las 24 horas.<br />
<br />
INFORMACI&Oacute;N FINANCIERA<br />
* Administraci&oacute;n: $ 311.mil<br />
* VALOR DE VENTA: $800.millones<br />
<br />
PARA M&Aacute;S INFORMACI&Oacute;N CONTACTANOS. 3173449234<br /><br><br> Características adicionales: <br> - Estudio<br>- Sala<br> <br><br> Ref#737432.",Casa,Venta
K7zNLDh8j01tSaDVWC6M3A==,Propiedad,2021-04-20,9999-12-31,2021-04-20,4.714,-74.03,Colombia,Cundinamarca,Bogotá D.C,Zona Norte,Usaquén,,,3.0,4.0,,,950000000.0,COP,,APARTAMENTO EN VENTA EN Bogota,"Apartamento de 173MTS2, 3 alcobas, 4 baños, estar de alcobas, sala comedor, chimenea, cocina cerrada, zona de lavandería, exterior, ubicado en 3 piso, iluminado, dos garajes en linea, deposito, estudio, cuarto y baño de servicio, balcón. Para mayor información comunicarse con Andrea Beltran.",Apartamento,Venta
35MyC//pd8yGaHYr93FH5Q==,Propiedad,2021-04-20,2021-05-06,2021-04-20,4.729,-74.066,Colombia,Cundinamarca,Bogotá D.C,Zona Noroccidental,,,,4.0,4.0,,,950000000.0,COP,,APARTAMENTO EN VENTA EN Bogota,"Apartamento Penthouse Duplex, 186.09 metros area construida, 168.50 area privada, dos garajes y deposito, 15 años de construido, se reformó hace 5 años pisos baños, cocina abierta tipo americanol, estrato 5, primer nivel tiene sala comedor, area de estudio, tv con chimenea, balcon y una alcoba con baño privado, baño social, zona de lavanderia, cuarto y baño de servicio, segundo bnivel, alcoba principal con vestier, baño privado, acloba auxiliar, hall de alcobas, terraza BBQ, gimnasio, salon social, zonas infantiles, vigilancia las 24 horas. Para mayor informacion comunicarse con Andrea Beltran",Apartamento,Venta
Sygck9Sdqj/zODeZvvRXQg==,Propiedad,2021-04-20,9999-12-31,2021-04-20,4.65,-74.049,Colombia,Cundinamarca,Bogotá D.C,Zona Chapinero,Chapinero,,,3.0,5.0,,,1450000000.0,COP,,APARTAMENTO EN VENTA EN Bogota,"Apartamento en Rosales, exterior, vista panorámica, tres alcobas cada una con baño,  estudio, sala comedor independiente, pisos en madera, deposito y dos garajes independientes. Ubicado en buen sector, fáciles vías de acceso. Para mayor información comunicarse con Andrea Beltran",Apartamento,Venta
EJ+ubW8l7MLdMyasSyj6mA==,Propiedad,2021-04-20,2021-05-11,2021-04-20,4.67,-74.122,Colombia,Cundinamarca,Bogotá D.C,Zona Occidental,Fontibón,Modelia,,4.0,5.0,,,749000000.0,COP,,CASA EN VENTA EN Bogota,"Casa, 230 mts2, con amplios espacios, cocina tipo isla y americana, cuatro alcobas, dos estudios,  cinco baños, patio de ropas, zona de lavandería, cuatro parqueaderos, dos niveles, estar de televisión, chimenea, dos depositos,  Ubicado en buen sector, cerca al centro comercial hayuelos,  fáciles vías de acceso. Para mayor información comunicarse con Andrea Beltran",Casa,Venta
JQFRqUxc6JmYc1rf8c5FlA==,Propiedad,2021-04-20,2021-04-22,2021-04-20,,,Colombia,Antioquia,Envigado,,,,,5.0,9.0,,,2600000000.0,COP,,Casa en Arriendo o Venta Loma del Escobero Envigado  - 1079087,"<b>Casa en Arriendo o Venta Loma del Escobero Envigado  - 1079087</b><br><br>Apartamento en arriendo o venta de 5000 metros cuadrados y 588 metros cuadrados construidos con sala, comedor, 4 alcobas, 1 alcoba de servicio, 8 ba&ntilde;os, 1 ba&ntilde;o de servicio, 4 Vestier, patio de ropas, balc&oacute;n, terraza, jard&iacute;n, solar, red de gas, calentador, piso en m&aacute;rmol, 3 parqueaderos.<br />
<br />
la unidad cuenta con cancha de Tennis y sal&oacute;n social.<br /><br><br> Características adicionales: <br> - Comedor diario<br>- Habitación principal<br>- Cuarto de servicio<br>- Sala<br> <br><br> Ref#737930.",Casa,Venta
wvrMK6tTrO2KHJFULE/C/Q==,Propiedad,2020-09-25,9999-12-31,2020-09-25,6.2233883,-75.5748632,Colombia,Antioquia,Medellín,El Poblado,,,3.0,3.0,,,,708000000.0,COP,,Venta apartamento Reserva del rio ,"tres alcobas, con baño, balcón, estudio. dos garajes y cuarto útil, , pisos en porcelanato y madera laminada en las alcobas.
La unidad cuenta con dos piscinas, juegos infantiles, gimnasio, salón de reuniones, excelente seguridad, muy tranquilo. Estratégicamente ubicado, cerca a estación del metro, clínicas, centros comerciales, portería.


Área: 121m2
Valor Predial trimestre: $993,000
Admón. $415,000
Pedido de venta: $708,000,000


CORTES PROPIEDAD RAIZ
móvil 301 632 73 05
",Apartamento,Venta
