id,fecha_publicacion,ciudad,zona,tipo,area,dormitorios,banos,precio_millones,precio_m2,segmento,precio_estimado,diferencia_pct,estado_precio,dias_publicado,esta_activo
zWv0xJvhKfHEI/H5a5t6Ww==,2021-03-25,Sin dato,Sin dato,Casa,118.0,4.0,3.0,220.0,1864406.779661017,Económicos estándar,239.9011834165454,-8.295575341948421,Cerca del valor estimado,140.0,False
TD9OzRacjG51lniqFPHJ3g==,2021-03-25,Medellín,Belén,Apartamento,100.0,4.0,3.0,450.0,4500000.0,Amplios de precio alto,396.925623659018,13.37136561044392,Cerca del valor estimado,,True
9HZuUFMC5Bew9udtIvDNQA==,2021-03-25,Bogotá D.C,Zona Occidental,Apartamento,90.0,4.0,3.0,370.0,4111111.111111111,Amplios de precio alto,436.78456133598064,-15.290046225926252,Por debajo del valor estimado,,True
axrajjEyVcG3QY8XwXACIA==,2021-03-25,Cali,Sin dato,Apartamento,243.0,4.0,5.0,950.0,3909465.0205761315,Amplios de precio alto,919.4472758169563,3.3229446632376676,Cerca del valor estimado,116.0,False
wjl8lOj8YnGGYKztAHF2Ow==,2020-11-16,Cali,Sin dato,Apartamento,60.0,2.0,2.0,147.0,2450000.0,Económicos estándar,180.9433035262166,-18.759082466568653,Por debajo del valor estimado,119.0,False
0vsuGYylT8IJG/0+XJIBAA==,2020-11-16,Pereira,Sin dato,Apartamento,115.0,3.0,2.0,300.0,2608695.652173913,Económicos estándar,335.3583201582972,-10.543445035628524,Cerca del valor estimado,15.0,False
LaNEEh0qzZIctbkuz9CJhw==,2020-11-16,Pereira,Sin dato,Apartamento,72.0,3.0,2.0,265.0,3680555.5555555555,Económicos estándar,196.6517560206538,34.75597948495703,Por encima del valor estimado,15.0,False
9VGDTjj/dHIwX8l8LX5xng==,2020-11-16,Pereira,Sin dato,Apartamento,50.0,2.0,2.0,165.0,3300000.0,Económicos estándar,169.62613269663336,-2.727252353802663,Cerca del valor estimado,15.0,False
y85J1U6MNYLccKxH+oEaCQ==,2020-11-16,Pereira,Sin dato,Apartamento,160.0,3.0,3.0,410.0,2562500.0,Económicos estándar,516.7703380589552,-20.66108098618741,Por debajo del valor estimado,15.0,False
EK267TXjWwag7WJgKz4Ipg==,2020-11-16,Bogotá D.C,Zona Norte,Apartamento,96.0,3.0,3.0,480.0,5000000.0,Amplios de precio alto,500.53085337187383,-4.101815748932514,Cerca del valor estimado,15.0,False
b8VA55ObCb90aZTiawuECw==,2021-04-07,Medellín,Belén,Apartamento,40.0,1.0,1.0,235.0,5875000.0,Compactos en zona cara,198.78239572785964,18.219724206223766,Por encima del valor estimado,,True
zMvt8k2w5RQAqFNbwrXJZA==,2021-04-07,Bogotá D.C,Zona Norte,Apartamento,50.0,1.0,2.0,297.5,5950000.0,Compactos en zona cara,357.75304096606243,-16.842076535074995,Por debajo del valor estimado,19.0,False
